Date,Total_SSI,Industry_Rank,Network_Rank,Brand,People,Insights,Relationships,Total_Connections,SSI_Increase,Connection_Limit,Follow_Limit,Profiles_To_Scan,Group_Like_Prob,Group_Comment_Prob,Speed_Factor,Feed_Posts_Limit,Feed_Like_Prob,Feed_Comment_Prob,Withdrawn_Count,New_Connections_Accepted,Total_Followers
2025-11-30,41.0,29,29,8.75,9.25,3.7,19.363,0,0.0,0,6,14,0.5878309571255202,0.0659943170951084,0.7,15,0.3217732558364766,0.0562163613836294,0,0,
2025-12-01,47.0,8,14,8.75,9.125,9.6,19.438,0,0.0,0,5,14,0.5882897747176921,0.0601949525406134,1.5,14,0.4416561754925256,0.0835173676207906,0,0,
2025-12-02,47.0,8,14,8.75,9.125,9.6,19.438,0,0.0,3,7,12,0.5955717824255177,0.0598331287410225,1.5,14,0.4837059859310369,0.0750670313625396,0,0,
2025-12-03,47.0,8,14,8.75,9.125,9.6,19.438,0,0.0,8,0,24,0.5797624148872235,0.1452688100830385,1.5,18,0.5504818686544475,0.1693284493260517,0,0,
2025-12-04,47.0,8,14,8.75,9.125,9.6,19.438,0,0.0,10,14,2,0.0671630709174489,0.0,1.5,1,0.0,0.0,0,0,1510.0
2025-12-06,47.0,8,14,8.75,9.125,9.6,19.438,0,0.0,8,12,22,0.0472639272708954,0.0133224759421241,2.0,0,0.0245475845991622,0.0149864927285707,0,0,1523.0
2025-12-07,47.0,8,14,8.75,9.125,9.6,19.438,0,0.0,0,10,25,0.405170486495547,0.1138317318816598,4.0,24,0.2737091313425139,0.0783486508779596,0,0,1525.0
2025-12-09,49.0,7,11,8.75,9.375,10.65,20.1,0,2.0,15,16,35,0.3717166436847711,0.1008655840287432,4.0,35,0.2107771667741894,0.0875046301432824,0,0,1563.0
2025-12-10,0.0,0,0,0.0,0.0,0.0,0.0,0,-49.0,7,15,29,0.4999639371053309,0.1177005670303282,1.0,24,0.2553402662978463,0.1183870220564464,0,0,1587.0
2025-12-15,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,11,12,50,0.3659934786507133,0.1147682899848926,1.0,50,0.2008952619199787,0.0511847812660734,0,0,1645.0
2025-12-20,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,15,11,47,0.3985242092215306,0.1193853014259375,2.0,40,0.2493359566413544,0.0975161286812962,0,0,1656.0
2025-12-23,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,14,12,44,0.3611519193150737,0.1202403189826745,4.0,50,0.2790293300758269,0.0747373438274086,0,0,1664.0
2025-12-24,49.0,6,11,8.750002,8.1875,10.65,21.400002,0,0.0,1,14,44,0.3887067671245454,0.106232831371131,4.5,41,0.2642453745941102,0.1227747640617052,0,0,674.0
2025-12-25,49.0,6,11,8.750002,8.1875,10.65,21.400002,0,0.0,1,11,43,0.3557037586501872,0.1378598422946927,4.5,31,0.2962675863144886,0.1259446401343533,0,0,680.0
2026-02-05,40.0,13,33,8.750002,6.5,3.1,22.0,0,-9.0,2,11,30,0.3933493349846284,0.1245226973319588,4.5,50,0.236139289084537,0.1349766243276201,0,0,746.0
2026-02-06,40.0,13,33,8.750002,6.5,3.1,22.0,0,0.0,5,10,10,0.3053376181311912,0.1482720698813049,5.0,11,0.2289907317259757,0.1368593983020258,0,0,759.0
2026-02-07,40.0,13,33,8.750002,6.5,3.1,22.0,0,0.0,16,10,30,0.369306120809272,0.1119183457570944,5.0,26,0.2890813423509776,0.1253508978947984,0,0,766.0
2026-02-09,0.0,0,0,0.0,0.0,0.0,0.0,0,-40.0,11,25,25,0.2306165755948059,0.0590527195811553,0.7,1,0.2144602494280232,0.0927523334378071,0,0,788.0
2026-02-10,39.0,16,39,8.750002,6.7,1.0,22.2,0,0.0,10,22,16,0.2248546779703795,0.2107371882965669,4.5,10,0.2919617778646581,0.2178553804964689,0,0,809.0
2026-02-11,39.0,16,38,8.750002,6.8,1.0,22.2,0,0.0,10,22,18,0.2697080547773273,0.1298146674969984,4.5,14,0.2855712860308378,0.2103923449626736,0,0,812.0
2026-02-12,39.0,16,39,8.750002,6.8,1.0,22.2,0,0.0,10,21,23,0.2466132579145498,0.1488076701612524,4.5,12,0.2800785286170871,0.217866482522875,0,0,822.0
2026-02-13,39.0,16,39,8.750002,6.8,1.0,22.2,0,0.0,10,15,16,0.2621602876135534,0.1309642169997707,4.5,0,0.2076267847024037,0.0249648429060152,0,0,829.0
2026-02-18,39.0,14,37,8.750002,7.0625,1.0,22.400002,0,0.0,15,19,20,0.2502279907362058,0.1574229832133939,4.5,28,0.2702972987901157,0.0246562192438094,0,0,840.0
2026-02-19,39.0,14,37,8.750002,7.125,1.0,22.400002,0,0.0,15,22,15,0.2542912540596576,0.1620715723483593,4.5,26,0.2902139161150376,0.0082652760277645,0,0,846.0
2026-02-20,39.0,14,37,8.750002,7.25,1.0,22.400002,0,0.0,16,18,35,0.2122238863229603,0.1171286373647314,4.0,30,0.2630851096943457,0.0025694875688458,0,0,853.0
2026-02-21,40.0,15,36,8.750002,7.375,1.0,22.400002,0,1.0,15,24,52,0.27449075143333446,0.10724835364201471,4.0,24,0.24271005141459184,0.13007490969188468,0,0,860.0
